top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1613 dhruv     20   0  347044  14548  12644 S   0.0   0.2   0:00.16 goa-identity-se
   1615 root      20   0  251112   8984   7584 S   0.0   0.1   0:00.75 upowerd
   1633 dhruv     20   0  309620   7488   6828 S   0.0   0.1   0:00.03 at-spi-bus-laun
   1639 dhruv     20   0    8428   4160   3688 S   0.0   0.1   0:00.06 dbus-daemon
   1648 dhruv     20   0  373724  77860  47144 S   0.0   1.0   0:53.07 Xwayland
   1653 dhruv     20   0  244796   5276   4860 S   0.0   0.1   0:00.02 xdg-permission-
   1655 dhruv     20   0  582664  18056  15588 S   0.0   0.2   0:00.22 gnome-shell-cal
   1664 dhruv     20   0 1080776  26076  22208 S   0.0   0.3   0:00.20 evolution-sourc
   1670 geoclue   20   0  919596  26564  14608 S   0.0   0.3   0:03.36 geoclue
   1673 dhruv     20   0 1258712  30752  26492 S   0.0   0.4   0:00.32 evolution-calen
   1679 root      20   0  381304  42776  18768 S   0.0   0.5   0:11.54 packagekitd
   1689 dhruv     20   0  157072   6128   5376 S   0.0   0.1   0:00.03 dconf-service
   1696 dhruv     20   0  689072  28556  25200 S   0.0   0.4   0:00.18 evolution-addre
   1711 dhruv     20   0  171664   6512   5944 S   0.0   0.1   0:00.01 gvfsd-metadata
   1712 dhruv     20   0  323520   8428   7232 S   0.0   0.1   0:00.10 gvfsd-trash
   1726 dhruv     20   0  162676   7364   6688 S   0.0   0.1   0:00.06 at-spi2-registr
   1728 dhruv     20   0 2669720  28208  22860 S   0.0   0.3   0:00.22 gjs
   1736 dhruv     20   0  467548   7292   6552 S   0.0   0.1   0:00.06 gsd-usb-protect
   1738 dhruv     20   0  423568  22164  16988 S   0.0   0.3   0:00.31 gsd-wacom
   1744 dhruv     20   0  725228  27156  21620 S   0.0   0.3   0:00.62 gsd-media-keys
   1745 dhruv     20   0  466500   6676   6056 S   0.0   0.1   0:00.08 gsd-rfkill
   1746 dhruv     20   0  319072   6484   5908 S   0.0   0.1   0:00.03 gsd-a11y-settin
   1751 dhruv     20   0  587652  65632  50972 S   0.0   0.8   0:00.41 gsd-xsettings
   1753 dhruv     20   0  797944  27912  21736 S   0.0   0.3   0:00.86 gsd-power
   1755 dhruv     20   0  399496   8908   7956 S   0.0   0.1   0:00.04 gsd-wwan
   1756 dhruv     20   0  244932   6496   5976 S   0.0   0.1   0:00.04 gsd-screensaver
   1760 dhruv     20   0  618688  26328  20844 S   0.0   0.3   0:00.47 gsd-color
   1764 dhruv     20   0  258500  11384   9940 S   0.0   0.1   0:00.05 gsd-print-notif
   1770 dhruv     20   0  474592   9896   8288 S   0.0   0.1   0:01.65 gsd-sharing
   1775 dhruv     20   0  459328  18072  15724 S   0.0   0.2   0:00.12 gsd-datetime
   1782 dhruv     20   0  320952   8144   7260 S   0.0   0.1   0:00.04 gsd-smartcard
   1784 dhruv     20   0  320704   7628   6800 S   0.0   0.1   0:00.80 gsd-housekeepin
   1790 dhruv     20   0  327988   9188   8144 S   0.0   0.1   0:00.04 gsd-sound
   1796 dhruv     20   0  349240  21508  16696 S   0.0   0.3   0:00.26 gsd-keyboard
   1833 dhruv     20   0 2604048  27776  22616 S   0.0   0.3   0:00.20 gjs
   1857 dhruv     20   0  351000  13804  11996 S   0.0   0.2   0:00.05 gsd-printer
   1902 dhruv     20   0 1025692  14036  11544 S   0.0   0.2   0:00.71 xdg-desktop-por
   1908 dhruv     20   0  889620   7512   6668 S   0.0   0.1   0:00.18 xdg-document-po
   1913 root      20   0    2792   1052    960 S   0.0   0.0   0:00.00 fusermount3
   1917 dhruv     20   0  532152  28472  21260 S   0.0   0.4   0:00.65 xdg-desktop-por
   1932 colord    20   0  254060  13192   9516 S   0.0   0.2   0:00.35 colord
